N,P,time_sec,comp_time_sec,comm_time_sec,correctness
65536,1,0.003654,0.003654,0.000000,PASS
65536,2,0.002478,0.002313,0.000124,PASS
65536,4,0.001631,0.001449,0.000143,PASS
65536,8,0.001246,0.001050,0.000177,PASS
262144,1,0.016369,0.016368,0.000000,PASS
262144,2,0.010398,0.009821,0.000550,PASS
262144,4,0.006445,0.005925,0.000341,PASS
262144,8,0.005303,0.004714,0.000428,PASS
1048576,1,0.071311,0.071310,0.000000,PASS
1048576,2,0.044075,0.042052,0.001317,PASS
1048576,4,0.035859,0.032800,0.004207,PASS
1048576,8,0.022236,0.019596,0.001852,PASS
4194304,1,0.312073,0.312072,0.000000,PASS
4194304,2,0.183657,0.178758,0.004345,PASS
4194304,4,0.147715,0.137226,0.036586,PASS
4194304,8,0.095930,0.082816,0.009895,PASS
