graph,P,time_seconds,speedup,efficiency,comp_time,comm_time,other_time,comm_overhead_pct
chain_20k,1,1.1021,1.0,1.0,1.06452,0.0353157,0.00226183,3.2
chain_20k,2,1.4196,0.7763,0.3882,1.26196,0.154717,0.00292849,10.9
chain_20k,4,1.01481,1.086,0.2715,0.629859,0.38293,0.00202185,37.73
chain_20k,8,17.1991,0.0641,0.008,0.317554,16.9269,0.0,98.42
chain_2k,1,0.0108539,1.0,1.0,0.0103701,0.000271702,0.00021209,2.5
chain_2k,2,0.0118774,0.9138,0.4569,0.0057717,0.00614353,0.0,51.72
chain_2k,4,0.0282607,0.3841,0.096,0.00689645,0.0215722,0.0,76.33
chain_2k,8,0.854268,0.0127,0.0016,0.00290056,0.850827,0.000540155,99.6
clustered_100k,1,0.0096639,1.0,1.0,0.00945612,0.000184727,2.3049e-05,1.91
clustered_100k,2,0.00763384,1.2659,0.633,0.00677618,0.00079363,6.4029e-05,10.4
clustered_100k,4,0.00644,1.5006,0.3752,0.00343098,0.00296202,4.7005e-05,45.99
clustered_100k,8,0.0431242,0.2241,0.028,0.00178084,0.0379976,0.00334574,88.11
clustered_10k,1,0.000813234,1.0,1.0,0.000796728,1.4302e-05,2.204e-06,1.76
clustered_10k,2,0.000552216,1.4727,0.7363,0.000394141,0.000164518,0.0,29.79
clustered_10k,4,0.00283081,0.2873,0.0718,0.000306673,0.00179447,0.000729675,63.39
clustered_10k,8,0.020917,0.0389,0.0049,0.00012128,0.0197603,0.00103543,94.47
rand_100k,1,0.0126634,1.0,1.0,0.0124924,0.000154212,1.6763e-05,1.22
rand_100k,2,0.0070464,1.7971,0.8986,0.00616714,0.000869207,1.0052e-05,12.34
rand_100k,4,0.0076865,1.6475,0.4119,0.00471209,0.0029587,1.5714e-05,38.49
rand_100k,8,0.0476652,0.2657,0.0332,0.00212456,0.0420115,0.0035292,88.14
rand_100k_dense,1,0.0112516,1.0,1.0,0.0111405,9.5598e-05,1.5514e-05,0.85
rand_100k_dense,2,0.00618695,1.8186,0.9093,0.00559795,0.000590788,0.0,9.55
rand_100k_dense,4,0.00822748,1.3676,0.3419,0.00512895,0.00301866,7.9876e-05,36.69
rand_100k_dense,8,0.0379764,0.2963,0.037,0.00257296,0.0322072,0.00319627,84.81
rand_10k,1,0.000873759,1.0,1.0,0.000857326,1.4356e-05,2.077e-06,1.64
rand_10k,2,0.000558928,1.5633,0.7816,0.000408828,0.000155518,0.0,27.82
rand_10k,4,0.00359238,0.2432,0.0608,0.000301818,0.00325917,3.1392e-05,90.72
rand_10k,8,0.0212804,0.0411,0.0051,0.000137736,0.0200347,0.00110795,94.15
rand_1k,1,5.9504e-05,1.0,1.0,4.8713e-05,6.439e-06,4.352e-06,10.82
rand_1k,2,8.0699e-05,0.7374,0.3687,2.3498e-05,4.9029e-05,8.172e-06,60.76
rand_1k,4,0.0033027,0.018,0.0045,2.1948e-05,0.00326515,1.56e-05,98.86
rand_1k,8,0.0140185,0.0042,0.0005,1.2808e-05,0.0136486,0.000357015,97.36
