dataset,N,P,time_seq,time_mpi,speedup,efficiency,comp_time,comm_time,other_time,comm_overhead_pct
log_10000,10000,1,0.004719,0.005214,0.9051,0.9051,0.005121,9.3e-05,0.0,1.79
log_10000,10000,2,0.004719,0.003495,1.3502,0.6751,0.002624,0.000856,1.5e-05,24.49
log_10000,10000,4,0.004719,0.004129,1.143,0.2857,0.003128,0.001236,0.0,29.94
log_10000,10000,8,0.004719,0.031371,0.1504,0.0188,0.001704,0.029624,4.3e-05,94.43
log_100000,100000,1,0.045883,0.049937,0.9188,0.9188,0.04983,0.000106,0.0,0.21
log_100000,100000,2,0.045883,0.0262,1.7513,0.8756,0.025317,0.000881,2e-06,3.36
log_100000,100000,4,0.045883,0.030574,1.5007,0.3752,0.029098,0.001258,0.000218,4.11
log_100000,100000,8,0.045883,0.032661,1.4048,0.1756,0.014649,0.018911,0.0,57.9
log_500000,500000,1,0.226195,0.240592,0.9402,0.9402,0.240476,0.000116,0.0,0.05
log_500000,500000,2,0.226195,0.122014,1.8538,0.9269,0.121143,0.000867,4e-06,0.71
log_500000,500000,4,0.226195,0.145072,1.5592,0.3898,0.143455,0.003115,0.0,2.15
log_500000,500000,8,0.226195,0.091769,2.4648,0.3081,0.078143,0.048468,0.0,52.81
log_1000000,1000000,1,0.451889,0.486801,0.9283,0.9283,0.486681,0.00012,0.0,0.02
log_1000000,1000000,2,0.451889,0.242564,1.863,0.9315,0.241661,0.000899,4e-06,0.37
log_1000000,1000000,4,0.451889,0.287822,1.57,0.3925,0.286934,0.002028,0.0,0.7
log_1000000,1000000,8,0.451889,0.156381,2.8897,0.3612,0.143609,0.018047,0.0,11.54
log_2000000,2000000,1,0.901788,0.958116,0.9412,0.9412,0.957994,0.000122,0.0,0.01
log_2000000,2000000,2,0.901788,1.14572,0.7871,0.3935,1.14452,0.085122,0.0,7.43
log_2000000,2000000,4,0.901788,0.56974,1.5828,0.3957,0.56811,0.001239,0.000391,0.22
log_2000000,2000000,8,0.901788,0.313745,2.8743,0.3593,0.283036,0.023893,0.006816,7.62
